USDG/USD
USDG/EUR
USDR/USD
USDR/EUR
XBT/USD
XBT/EUR
ETH/USD
ETH/EUR
0G/EUR
0G/USD
1INCH/EUR
1INCH/USD
2Z/EUR
2Z/USD
AAVE/ETH
AAVE/EUR
AAVE/USD
AAVE/XBT
AB/EUR
AB/USD
ACH/EUR
ACH/USD
ACX/EUR
ACX/USD
ADA/ETH
ADA/EUR
ADA/USD
ADA/XBT
ADX/EUR
ADX/USD
AERO/EUR
AERO/USD
A/EUR
AEVO/EUR
AEVO/USD
AI16Z/EUR
AI16Z/USD
AIOZ/EUR
AIOZ/USD
AIXBT/EUR
AIXBT/USD
AKT/EUR
AKT/USD
ALGO/ETH
ALGO/EUR
ALGO/USD
ALGO/XBT
ALICE/EUR
ALICE/USD
ALKIMI/EUR
ALKIMI/USD
ALPHA/EUR
ALPHA/USD
ALT/EUR
ALTHEA/EUR
ALTHEA/USD
ALT/USD
ANIME/EUR
ANIME/USD
ANKR/EUR
ANKR/USD
ANON/EUR
ANON/USD
APE/EUR
APENFT/EUR
APENFT/USD
APE/USD
API3/EUR
API3/USD
APR/EUR
APR/USD
APT/EUR
APT/USD
APU/EUR
APU/USD
ARB/EUR
ARB/USD
AR/EUR
ARKM/EUR
ARKM/USD
ARPA/EUR
ARPA/USD
AR/USD
ASTER/EUR
ASTER/USD
ASTR/EUR
ASTR/USD
ATH/EUR
ATH/USD
ATLAS/EUR
ATLAS/USD
ATOM/ETH
ATOM/EUR
ATOM/USD
ATOM/XBT
AUCTION/EUR
AUCTION/USD
AUDIO/EUR
AUDIO/USD
AURA/EUR
AURA/USD
A/USD
AVAAI/EUR
AVAAI/USD
AVAX/EUR
AVAX/USD
AVNT/EUR
AVNT/USD
AXS/EUR
AXS/USD
B2/EUR
B2/USD
BABY/EUR
BABY/USD
BAL/EUR
BAL/USD
BANANAS31/EUR
BANANAS31/USD
BAND/EUR
BAND/USD
BAT/EUR
BAT/USD
BCH/ETH
BCH/EUR
BCH/USD
BCH/XBT
BDXN/EUR
BDXN/USD
BEAM/EUR
BEAM/USD
BERA/EUR
BERA/USD
BERT/EUR
BERT/USD
BIGTIME/EUR
BIGTIME/USD
BILLY/EUR
BILLY/USD
BIO/EUR
BIO/USD
BLUR/EUR
BLUR/USD
