USDG/USD
USDG/EUR
USDR/USD
USDR/EUR
ACH/EUR
ACH/USD
ACX/EUR
ACX/USD
AIOZ/EUR
AIOZ/USD
ALICE/EUR
ALICE/USD
APENFT/EUR
APENFT/USD
API3/EUR
API3/USD
APU/EUR
APU/USD
ATOM/EUR
ATOM/USD
AUCTION/EUR
AUCTION/USD
BAT/EUR
BAT/USD
BERA/EUR
BERA/USD
BERT/EUR
BERT/USD
BNB/EUR
BNB/USD
CCD/EUR
CCD/USD
COMP/EUR
COMP/USD
CVX/EUR
CVX/USD
DEEP/EUR
DEEP/USD
DRIFT/EUR
DRIFT/USD
EGLD/EUR
EGLD/USD
EIGEN/EUR
EIGEN/USD
ENA/EUR
ENA/USD
FF/EUR
FF/USD
FHE/EUR
FHE/USD
FXS/EUR
FXS/USD
GLMR/EUR
GLMR/USD
GRASS/EUR
GRASS/USD
IDEX/EUR
IDEX/USD
INJ/EUR
INJ/USD
IP/EUR
IP/USD
JTO/EUR
JTO/USD
KMNO/EUR
KMNO/USD
LINK/EUR
LINK/USD
LMWR/EUR
LMWR/USD
LOCKIN/EUR
LOCKIN/USD
LOFI/EUR
LOFI/USD
LUNA/EUR
LUNA/USD
MELANIA/EUR
MELANIA/USD
MEME/EUR
MEME/USD
MF/EUR
MF/USD
MOG/EUR
MOG/USD
NEAR/EUR
NEAR/USD
NODL/EUR
NODL/USD
OM/EUR
OM/USD
OPEN/EUR
OPEN/USD
OP/EUR
OP/USD
PAXG/EUR
PAXG/USD
PEAQ/EUR
PEAQ/USD
PEPE/EUR
PEPE/USD
POPCAT/EUR
POPCAT/USD
PROVE/EUR
PROVE/USD
PTB/EUR
PTB/USD
PYTH/EUR
PYTH/USD
QNT/EUR
QNT/USD
RAIIN/EUR
RAIIN/USD
RARI/EUR
RARI/USD
REKT/EUR
REKT/USD
RUNE/EUR
RUNE/USD
SAHARA/EUR
SAHARA/USD
SAND/EUR
SAND/USD
SAROS/EUR
SAROS/USD
SEI/EUR
SEI/USD
SGB/EUR
SGB/USD
SHX/EUR
SHX/USD
SPELL/EUR
SPELL/USD
STBL/EUR
STBL/USD
STX/EUR
STX/USD
SYND/EUR
SYND/USD
T/EUR
TIA/EUR
TIA/USD
TRAC/EUR
TRAC/USD
TRU/EUR
TRU/USD
TRX/EUR
TRX/USD
T/USD
UNITE/EUR
UNITE/USD
VANRY/EUR
VANRY/USD
VFY/EUR
VFY/USD
VINE/EUR
VINE/USD
VSN/EUR
VSN/USD
WIF/EUR
WIF/USD
WLFI/EUR
WLFI/USD
WOO/EUR
WOO/USD
XAN/EUR
XAN/USD
XCN/EUR
XCN/USD
XBT/EUR
XBT/USD
ZEC/EUR
ZEC/USD
