USDG/USD
USDG/EUR
USDR/USD
USDR/EUR
XBT/USD
XBT/EUR
COMP/EUR
COMP/USD
COMP/XBT
GRT/EUR
GRT/USD
GRT/XBT
MANA/EUR
MANA/USD
MANA/XBT
MINA/EUR
MINA/USD
MINA/XBT
SAND/EUR
SAND/USD
SAND/XBT
SC/EUR
SC/USD
SC/XBT
SNX/EUR
SNX/USD
SNX/XBT
XDG/EUR
XDG/USD
XDG/XBT
ETH/XBT
MLN/XBT
MLN/EUR
MLN/USD
XLM/XBT
XLM/EUR
XLM/USD
XMR/XBT
XMR/EUR
XMR/USD
AAVE/EUR
AAVE/USD
AAVE/XBT
ADA/EUR
ADA/USD
ADA/XBT
ALGO/EUR
ALGO/USD
ALGO/XBT
ATOM/EUR
ATOM/USD
ATOM/XBT
BCH/EUR
BCH/USD
BCH/XBT
DOT/EUR
DOT/USD
DOT/XBT
FIL/EUR
FIL/USD
FIL/XBT
LINK/EUR
LINK/USD
LINK/XBT
LTC/XBT
LTC/EUR
LTC/USD
PAXG/EUR
PAXG/USD
PAXG/XBT
SOL/EUR
SOL/USD
SOL/XBT
TRX/EUR
TRX/USD
TRX/XBT
UNI/EUR
UNI/USD
UNI/XBT
ETC/XBT
ETC/EUR
ETC/USD
XRP/XBT
XRP/EUR
XRP/USD
EGLD/EUR
EGLD/USD
ENS/EUR
ENS/USD
ESX/EUR
ESX/USD
EWT/EUR
EWT/USD
FHE/EUR
FHE/USD
FLR/EUR
FLR/USD
FXS/EUR
FXS/USD
GARI/EUR
GARI/USD
GIGA/EUR
GIGA/USD
GNO/EUR
GNO/USD
GRIFFAIN/EUR
GRIFFAIN/USD
HFT/EUR
HFT/USD
HOUSE/EUR
HOUSE/USD
ICX/EUR
ICX/USD
INJ/EUR
INJ/USD
JTO/EUR
JTO/USD
KAS/EUR
KAS/USD
KGEN/EUR
KGEN/USD
KNC/EUR
KNC/USD
LCAP/EUR
LCAP/USD
LMWR/EUR
LMWR/USD
LQTY/EUR
LQTY/USD
MAT/EUR
MAT/USD
M/EUR
M/USD
MIRROR/EUR
MIRROR/USD
MORPHO/EUR
MORPHO/USD
NANO/EUR
NANO/USD
NMR/EUR
NMR/USD
NOT/EUR
NOT/USD
OM/EUR
OM/USD
OP/EUR
OP/USD
OXT/EUR
OXT/USD
PENDLE/EUR
PENDLE/USD
PHA/EUR
PHA/USD
PNUT/EUR
PNUT/USD
PORTAL/EUR
PORTAL/USD
PRO/EUR
PRO/USD
PUMP/EUR
PUMP/USD
RAD/EUR
RAD/USD
RAY/EUR
RAY/USD
REPV2/EUR
REPV2/USD
RHEA/EUR
RHEA/USD
RPL/EUR
RPL/USD
SAFE/EUR
SAFE/USD
SAPIEN/EUR
SAPIEN/USD
SEI/EUR
SEI/USD
SHX/EUR
SHX/USD
SPELL/EUR
SPELL/USD
STBL/EUR
STBL/USD
STX/EUR
STX/USD
SWEAT/EUR
SWEAT/USD
SYN/EUR
SYN/USD
TEER/EUR
TEER/USD
TNSR/EUR
TNSR/USD
TRU/EUR
TRU/USD
U/EUR
U/USD
USELESS/EUR
USELESS/USD
VINE/EUR
VINE/USD
WAL/EUR
WAL/USD
WEN/EUR
WEN/USD
WLFI/EUR
WLFI/USD
XDC/EUR
XDC/USD
XNY/EUR
XNY/USD
XYO/EUR
XYO/USD
YFI/EUR
YFI/USD
ZEREBRO/EUR
ZEREBRO/USD
ZIG/EUR
ZIG/USD
ZRO/EUR
ZRO/USD
