USDG/USD
USDG/EUR
USDR/USD
USDR/EUR
1INCH/EUR
1INCH/USD
AB/EUR
AB/USD
ACX/EUR
ACX/USD
AERO/EUR
AERO/USD
AEVO/EUR
AEVO/USD
AIOZ/EUR
AIOZ/USD
AKT/EUR
AKT/USD
ALKIMI/EUR
ALKIMI/USD
ALT/EUR
ALT/USD
ANIME/EUR
ANIME/USD
ANON/EUR
ANON/USD
APENFT/EUR
APENFT/USD
APR/EUR
APR/USD
APU/EUR
APU/USD
AR/EUR
AR/USD
ARPA/EUR
ARPA/USD
ASTR/EUR
ASTR/USD
ATLAS/EUR
ATLAS/USD
AUDIO/EUR
AUDIO/USD
AVAAI/EUR
AVAAI/USD
AVNT/EUR
AVNT/USD
B2/EUR
B2/USD
BAL/EUR
BAL/USD
BAT/EUR
BAT/USD
BERA/EUR
BERA/USD
BILLY/EUR
BILLY/USD
BMT/EUR
BMT/USD
BODEN/EUR
BODEN/USD
BTR/EUR
BTR/USD
CAMP/EUR
CAMP/USD
CELO/EUR
CELO/USD
CHILLHOUSE/EUR
CHILLHOUSE/USD
CLOUD/EUR
CLOUD/USD
CPOOL/EUR
CPOOL/USD
CRV/EUR
CRV/USD
CVX/EUR
CVX/USD
DBR/EUR
DBR/USD
DMC/EUR
DMC/USD
DRIFT/EUR
DRIFT/USD
EAT/EUR
EAT/USD
ENJ/EUR
ENJ/USD
ES/EUR
ES/USD
EUL/EUR
EUL/USD
FF/EUR
FF/USD
FLOW/EUR
FLOW/USD
FWOG/EUR
FWOG/USD
GAL/EUR
GAL/USD
GHST/EUR
GHST/USD
GMX/EUR
GMX/USD
GRASS/EUR
GRASS/USD
H/EUR
H/USD
HONEY/EUR
HONEY/USD
ICP/EUR
ICP/USD
INIT/EUR
INIT/USD
JOE/EUR
JOE/USD
KAITO/EUR
KAITO/USD
KEY/EUR
KEY/USD
KMNO/EUR
KMNO/USD
KTA/EUR
KTA/USD
LINEA/EUR
LINEA/USD
LPT/EUR
LPT/USD
LUNA/EUR
LUNA/USD
MERL/EUR
MERL/USD
MIRA/EUR
MIRA/USD
MOODENG/EUR
MOODENG/USD
MYX/EUR
MYX/USD
NIL/EUR
NIL/USD
NOS/EUR
NOS/USD
OGN/EUR
OGN/USD
OPEN/EUR
OPEN/USD
OSMO/EUR
OSMO/USD
PEAQ/EUR
PEAQ/USD
PERP/EUR
PERP/USD
PLUME/EUR
PLUME/USD
POPCAT/EUR
POPCAT/USD
PRIME/EUR
PRIME/USD
PUFFER/EUR
PUFFER/USD
QTUM/EUR
QTUM/USD
RARI/EUR
RARI/USD
RENDER/EUR
RENDER/USD
REZ/EUR
REZ/USD
ROOK/EUR
ROOK/USD
RUNE/EUR
RUNE/USD
SAMO/EUR
SAMO/USD
SCRT/EUR
SCRT/USD
SHIB/EUR
SHIB/USD
SOSO/EUR
SOSO/USD
SPX/EUR
SPX/USD
STRK/EUR
STRK/USD
SUSHI/EUR
SUSHI/USD
SYND/EUR
SYND/USD
TAO/EUR
TAO/USD
TITCOIN/EUR
TITCOIN/USD
TRAC/EUR
TRAC/USD
U2U/EUR
U2U/USD
USDUC/EUR
USDUC/USD
VFY/EUR
VFY/USD
VULT/EUR
VULT/USD
WELL/EUR
WELL/USD
WLD/EUR
WLD/USD
XCN/EUR
XCN/USD
XNAP/EUR
XNAP/USD
XTZ/EUR
XTZ/USD
YB/EUR
YB/USD
ZBT/EUR
ZBT/USD
ZEX/EUR
ZEX/USD
ZRC/EUR
ZRC/USD
