USDG/USD
USDG/EUR
NANO/ETH
NANO/EUR
NANO/USD
NANO/XBT
NYM/EUR
NYM/USD
NYM/XBT
OCEAN/EUR
OCEAN/USD
OCEAN/XBT
OMG/ETH
OMG/EUR
OMG/USD
OMG/XBT
OXT/EUR
OXT/USD
OXT/XBT
PAXG/ETH
PAXG/EUR
PAXG/USD
PAXG/XBT
QTUM/ETH
QTUM/EUR
QTUM/USD
QTUM/XBT
RARI/EUR
RARI/USD
RARI/XBT
REN/EUR
REN/USD
REN/XBT
REPV2/ETH
REPV2/EUR
REPV2/USD
REPV2/XBT
SAND/EUR
SAND/USD
SAND/XBT
SC/ETH
SC/EUR
SC/USD
SC/XBT
SHIB/EUR
SHIB/USD
SHIB/USDT
SNX/ETH
SNX/EUR
SNX/USD
SNX/XBT
SOL/EUR
SOL/USD
SOL/USDT
SOL/XBT
SRM/EUR
SRM/USD
SRM/XBT
STORJ/EUR
STORJ/USD
STORJ/XBT
SUSHI/EUR
SUSHI/USD
SUSHI/XBT
TBTC/EUR
TBTC/USD
TBTC/XBT
TRX/ETH
TRX/EUR
TRX/USD
TRX/XBT
UNI/ETH
UNI/EUR
UNI/USD
UNI/XBT
USDC/ETH
USDC/EUR
USDC/USD
USDC/USDT
USDC/UST
USDC/XBT
USDT/ETH
USDT/LTC
USDT/EUR
USDT/USD
USDT/UST
USDT/XBT
USDT/XDG
USDT/XMR
USDT/XRP
USDT/XTZ
UST/EUR
UST/USD
WAVES/ETH
WAVES/EUR
WAVES/USD
WAVES/XBT
WBTC/EUR
WBTC/USD
WBTC/XBT
ETC/ETH
ETC/XBT
ETC/EUR
ETC/USD
ETH/LTC
ETH/XBT
ETH/EUR
ETH/USD
ETH/MLN
ETH/XRP
ETH/XTZ
LTC/XBT
LTC/EUR
LTC/USD
MLN/XBT
MLN/EUR
MLN/USD
REP/XBT
REP/EUR
REP/USD
XTZ/EUR
XTZ/USD
XTZ/XBT
XBT/EUR
XBT/USD
XBT/XDG
XBT/XLM
XBT/XMR
XBT/XRP
XBT/ZEC
XBT/YFI
XBT/ZRX
XDG/EUR
XDG/USD
XLM/EUR
XLM/USD
XMR/EUR
XMR/USD
XRP/EUR
XRP/USD
ZEC/EUR
ZEC/USD
YFI/EUR
YFI/USD
EUR/ZRX
ZRX/USD
ETH/NANO
EUR/NANO
USD/NANO
XBT/NANO
EUR/NYM
USD/NYM
XBT/NYM
EUR/OCEAN
USD/OCEAN
XBT/OCEAN
ETH/OMG
EUR/OMG
USD/OMG
XBT/OMG
EUR/OXT
USD/OXT
XBT/OXT
ETH/PAXG
EUR/PAXG
USD/PAXG
XBT/PAXG
ETH/QTUM
EUR/QTUM
USD/QTUM
XBT/QTUM
EUR/RARI
USD/RARI
XBT/RARI
EUR/REN
USD/REN
XBT/REN
ETH/REPV2
EUR/REPV2
USD/REPV2
XBT/REPV2
EUR/SAND
USD/SAND
XBT/SAND
ETH/SC
EUR/SC
USD/SC
XBT/SC
EUR/SHIB
USD/SHIB
USDT/SHIB
ETH/SNX
EUR/SNX
USD/SNX
XBT/SNX
EUR/SOL
USD/SOL
USDT/SOL
XBT/SOL
EUR/SRM
USD/SRM
XBT/SRM
EUR/STORJ
USD/STORJ
XBT/STORJ
EUR/SUSHI
USD/SUSHI
XBT/SUSHI
EUR/TBTC
USD/TBTC
XBT/TBTC
ETH/TRX
EUR/TRX
USD/TRX
XBT/TRX
ETH/UNI
EUR/UNI
USD/UNI
XBT/UNI
ETH/USDC
EUR/USDC
USD/USDC
USDT/USDC
UST/USDC
XBT/USDC
ETH/USDT
LTC/USDT
EUR/USDT
USD/USDT
UST/USDT
XBT/USDT
XDG/USDT
XMR/USDT
XRP/USDT
XTZ/USDT
EUR/UST
USD/UST
ETH/WAVES
EUR/WAVES
USD/WAVES
XBT/WAVES
EUR/WBTC
USD/WBTC
XBT/WBTC
ETH/ETC
XBT/ETC
EUR/ETC
USD/ETC
LTC/ETH
XBT/ETH
EUR/ETH
USD/ETH
MLN/ETH
XRP/ETH
XTZ/ETH
XBT/LTC
EUR/LTC
USD/LTC
XBT/MLN
EUR/MLN
USD/MLN
XBT/REP
EUR/REP
USD/REP
EUR/XTZ
USD/XTZ
XBT/XTZ
EUR/XBT
USD/XBT
XDG/XBT
XLM/XBT
XMR/XBT
XRP/XBT
ZEC/XBT
YFI/XBT
ZRX/XBT
EUR/XDG
USD/XDG
EUR/XLM
USD/XLM
EUR/XMR
USD/XMR
EUR/XRP
USD/XRP
EUR/ZEC
USD/ZEC
EUR/YFI
USD/YFI
ZRX/EUR
USD/ZRX
