USDG/USD
USDG/EUR
USDR/USD
USDR/EUR
ETH/USD
ETH/EUR
AAVE/ETH
AAVE/EUR
AAVE/USD
ADA/ETH
ADA/EUR
ADA/USD
ALGO/ETH
ALGO/EUR
ALGO/USD
ATOM/ETH
ATOM/EUR
ATOM/USD
BCH/ETH
BCH/EUR
BCH/USD
DOT/ETH
DOT/EUR
DOT/USD
FIL/ETH
FIL/EUR
FIL/USD
LINK/ETH
LINK/EUR
LINK/USD
LTC/ETH
LTC/EUR
LTC/USD
PAXG/ETH
PAXG/EUR
PAXG/USD
SOL/ETH
SOL/EUR
SOL/USD
TRX/ETH
TRX/EUR
TRX/USD
UNI/ETH
UNI/EUR
UNI/USD
ETC/ETH
ETC/EUR
ETC/USD
XRP/ETH
XRP/EUR
XRP/USD
BANANAS31/EUR
BANANAS31/USD
BDXN/EUR
BDXN/USD
BERT/EUR
BERT/USD
BIO/EUR
BIO/USD
BNB/EUR
BNB/USD
BONK/EUR
BONK/USD
BTT/EUR
BTT/USD
CARV/EUR
CARV/USD
CFG/EUR
CFG/USD
CHZ/EUR
CHZ/USD
COTI/EUR
COTI/USD
CQT/EUR
CQT/USD
CTC/EUR
CTC/USD
CXT/EUR
CXT/USD
DEEP/EUR
DEEP/USD
DOG/EUR
DOG/USD
DYDX/EUR
DYDX/USD
EIGEN/EUR
EIGEN/USD
ENSO/EUR
ENSO/USD
ETHFI/EUR
ETHFI/USD
FARTCOIN/EUR
FARTCOIN/USD
FIS/EUR
FIS/USD
FLUX/EUR
FLUX/USD
GAIA/EUR
GAIA/USD
GFI/EUR
GFI/USD
GLMR/EUR
GLMR/USD
GOAT/EUR
GOAT/USD
GUN/EUR
GUN/USD
HIPPO/EUR
HIPPO/USD
HPOS10I/EUR
HPOS10I/USD
IDEX/EUR
IDEX/USD
IP/EUR
IP/USD
JUNO/EUR
JUNO/USD
KAVA/EUR
KAVA/USD
KIN/EUR
KIN/USD
KOBAN/EUR
KOBAN/USD
LCX/EUR
LCX/USD
LOCKIN/EUR
LOCKIN/USD
LRC/EUR
LRC/USD
MELANIA/EUR
MELANIA/USD
MEW/EUR
MEW/USD
MNT/EUR
MNT/USD
MOVR/EUR
MOVR/USD
NEAR/EUR
NEAR/USD
NOBODY/EUR
NOBODY/USD
NPC/EUR
NPC/USD
OMG/EUR
OMG/USD
ORCA/EUR
ORCA/USD
OXY/EUR
OXY/USD
PENGU/EUR
PENGU/USD
PIPE/EUR
PIPE/USD
POL/EUR
POL/USD
POWR/EUR
POWR/USD
PROVE/EUR
PROVE/USD
PYTH/EUR
PYTH/USD
RAIIN/EUR
RAIIN/USD
RED/EUR
RED/USD
REQ/EUR
REQ/USD
RIZE/EUR
RIZE/USD
RSR/EUR
RSR/USD
SAGA/EUR
SAGA/USD
SAROS/EUR
SAROS/USD
S/EUR
S/USD
SKY/EUR
SKY/USD
SPICE/EUR
SPICE/USD
STG/EUR
STG/USD
SUI/EUR
SUI/USD
SWELL/EUR
SWELL/USD
SYRUP/EUR
SYRUP/USD
T/EUR
T/USD
TON/EUR
TON/USD
TRUMP/EUR
TRUMP/USD
UMA/EUR
UMA/USD
USUAL/EUR
USUAL/USD
VIRTUAL/EUR
VIRTUAL/USD
WAXL/EUR
WAXL/USD
W/EUR
W/USD
WOO/EUR
WOO/USD
XL1/EUR
XL1/USD
XPL/EUR
XPL/USD
ZEC/EUR
ZEC/USD
YGG/EUR
YGG/USD
ZETA/EUR
ZETA/USD
ZK/EUR
ZK/USD
ZRX/EUR
ZRX/USD
